1553743053.0000,-2408696.0167,4698117.4930,3566693.7869
1553743054.0000,-2408696.5287,4698122.6152,3566691.7759
1553743055.0000,-2408696.4107,4698121.7493,3566691.8911
1553743056.0000,-2408693.9439,4698103.9436,3566697.7572
1553743057.0000,-2408693.9152,4698104.0335,3566697.6820
1553743058.0000,-2408693.9107,4698103.9769,3566697.6596
1553743059.0000,-2408693.7803,4698103.9218,3566697.6095
1553743060.0000,-2408693.8459,4698104.0487,3566697.6887
1553743061.0000,-2408693.8700,4698104.0478,3566697.7093
1553743062.0000,-2408693.9063,4698104.1296,3566697.7678
1553743063.0000,-2408693.9084,4698104.1461,3566697.7631
1553743064.0000,-2408693.8963,4698104.1587,3566697.7743
1553743065.0000,-2408693.9268,4698104.2268,3566697.7799
1553743066.0000,-2408693.9138,4698104.2563,3566697.7580
1553743067.0000,-2408693.9133,4698104.2971,3566697.7526
1553743068.0000,-2408693.9314,4698104.3489,3566697.7735
1553743069.0000,-2408693.9245,4698104.3620,3566697.8026
1553743070.0000,-2408693.9267,4698104.3607,3566697.8274
1553743071.0000,-2408693.9098,4698104.3376,3566697.8276
1553743072.0000,-2408693.9098,4698104.3537,3566697.8321
1553743073.0000,-2408693.8854,4698104.3329,3566697.8179
1553743074.0000,-2408693.8747,4698104.3247,3566697.8065
1553743075.0000,-2408693.8757,4698104.3261,3566697.8088
1553743076.0000,-2408693.8676,4698104.3099,3566697.7835
1553743077.0000,-2408693.8566,4698104.2654,3566697.7510
1553743078.0000,-2408693.8498,4698104.2476,3566697.7380
1553743079.0000,-2408693.8497,4698104.2547,3566697.7426
1553743080.0000,-2408693.8465,4698104.2493,3566697.7471
1553743081.0000,-2408693.8387,4698104.2276,3566697.7367
1553743082.0000,-2408693.8426,4698104.2208,3566697.7406
1553743083.0000,-2408693.8338,4698104.2126,3566697.7223
1553743084.0000,-2408693.8393,4698104.2261,3566697.7207
1553743085.0000,-2408693.8421,4698104.2353,3566697.7316
1553743086.0000,-2408693.8365,4698104.2279,3566697.7258
1553743087.0000,-2408693.8325,4698104.2190,3566697.7089
1553743088.0000,-2408693.8221,4698104.1930,3566697.6975
1553743089.0000,-2408693.8120,4698104.1826,3566697.6918
1553743090.0000,-2408693.8055,4698104.1684,3566697.6850
1553743091.0000,-2408693.7964,4698104.1471,3566697.6754
1553743092.0000,-2408693.7921,4698104.1409,3566697.6743
1553743093.0000,-2408693.7969,4698104.1327,3566697.6749
1553743094.0000,-2408693.7944,4698104.1217,3566697.6692
1553743095.0000,-2408693.7963,4698104.1202,3566697.6672
1553743096.0000,-2408693.8022,4698104.1153,3566697.6705
1553743097.0000,-2408693.7948,4698104.1065,3566697.6608
1553743098.0000,-2408693.7897,4698104.1037,3566697.6728
1553743099.0000,-2408693.7867,4698104.0828,3566697.6626
1553743100.0000,-2408693.7932,4698104.0867,3566697.6669
1553743101.0000,-2408693.7940,4698104.0860,3566697.6613
1553743102.0000,-2408693.8006,4698104.0910,3566697.6685
1553743103.0000,-2408693.8001,4698104.0819,3566697.6718
1553743104.0000,-2408693.8043,4698104.0894,3566697.6862
1553743105.0000,-2408693.8058,4698104.0820,3566697.6853
1553743106.0000,-2408693.7996,4698104.0796,3566697.6904
1553743107.0000,-2408693.7992,4698104.0785,3566697.6901
1553743108.0000,-2408693.7981,4698104.0563,3566697.6819
1553743109.0000,-2408693.7989,4698104.0531,3566697.6808
1553743110.0000,-2408693.8023,4698104.0618,3566697.6888
1553743111.0000,-2408693.8128,4698104.0655,3566697.6841
1553743112.0000,-2408693.8177,4698104.0562,3566697.6909
1553743113.0000,-2408693.8149,4698104.0541,3566697.6868
1553743114.0000,-2408693.8170,4698104.0454,3566697.6808
1553743115.0000,-2408693.8226,4698104.0487,3566697.6876
1553743116.0000,-2408693.8167,4698104.0401,3566697.6751
1553743117.0000,-2408693.8200,4698104.0482,3566697.6780
1553743118.0000,-2408693.8197,4698104.0498,3566697.6835
1553743119.0000,-2408693.8239,4698104.0534,3566697.6775
1553743120.0000,-2408693.8288,4698104.0678,3566697.6853
1553743121.0000,-2408693.8267,4698104.0605,3566697.6847
1553743122.0000,-2408693.8350,4698104.0699,3566697.6876
1553743123.0000,-2408693.8307,4698104.0684,3566697.6875
1553743124.0000,-2408693.8373,4698104.0762,3566697.6858
1553743125.0000,-2408693.8391,4698104.0810,3566697.6874
1553743126.0000,-2408693.8439,4698104.0832,3566697.6877
1553743127.0000,-2408693.8393,4698104.0719,3566697.6880
1553743128.0000,-2408693.8446,4698104.0856,3566697.6973
1553743129.0000,-2408693.8461,4698104.0848,3566697.6924
1553743130.0000,-2408693.8498,4698104.0804,3566697.6911
1553743131.0000,-2408693.8514,4698104.0793,3566697.6859
1553743132.0000,-2408693.8527,4698104.0768,3566697.6818
1553743133.0000,-2408693.8505,4698104.0810,3566697.6929
1553743134.0000,-2408693.8511,4698104.0857,3566697.7030
1553743135.0000,-2408693.8515,4698104.0943,3566697.6967
1553743136.0000,-2408693.8560,4698104.0980,3566697.7040
1553743137.0000,-2408693.8615,4698104.1043,3566697.7114
1553743138.0000,-2408693.8544,4698104.1018,3566697.7048
1553743139.0000,-2408693.8567,4698104.1071,3566697.7059
1553743140.0000,-2408693.8631,4698104.1114,3566697.7086
1553743141.0000,-2408693.8612,4698104.1091,3566697.7077
1553743142.0000,-2408693.8635,4698104.1133,3566697.7142
1553743143.0000,-2408693.8632,4698104.1103,3566697.7102
1553743144.0000,-2408693.8690,4698104.1173,3566697.7138
1553743145.0000,-2408693.8700,4698104.1194,3566697.7182
